BuildingType,GHGEmissionsIntensity,LargestPropertyUseType,Latitude,ListOfAllPropertyUseTypes,Longitude,Neighborhood,NumberofFloors,OSEBuildingID,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,TotalGHGEmissions,NumberofBuildings,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),buildingAge,SteamRatio,ElectricityRatio,NaturalGasRatio
NonResidential,2.03,Other,47.62208,Other,-122.35398,MAGNOLIA / QUEEN ANNE,5.0,106.0,Other,396085.0,0.0,396085.0,804.2,1.0,278500.0,57.0,75.19999695,20955026.0,78.0,0.46593547533656127,0.3460900024652797,0.0
NonResidential,1.08,Office,47.62112,"Office, Other, Parking",-122.33629,LAKE UNION,12.0,107.0,Large Office,571329.0,0.0,571329.0,617.52,1.0,598801.0,91.0,63.40000153,39605888.0,6.0,0.0,0.8131669462883903,0.1868329527165254
NonResidential,1.96,Other,47.62395,Other,-122.35077,MAGNOLIA / QUEEN ANNE,2.0,110.0,Other,52000.0,0.0,52000.0,101.83,1.0,52000.0,54.666666666666664,52.40000153,2726369.0,54.0,0.44101880559821505,0.47438516209654674,0.0
NonResidential,0.1,Other,47.62395,Other,-122.35077,MAGNOLIA / QUEEN ANNE,1.0,111.0,Other,60696.0,0.0,60696.0,6.11,1.0,108000.0,60.666666666666664,8.100000381,875943.3125,88.0,0.0,0.9999996432417537,0.0
NonResidential,1.87,Other,47.62395,Other,-122.35143,MAGNOLIA / QUEEN ANNE,2.0,112.0,Other,262048.0,0.0,262048.0,490.73,1.0,296000.0,59.0,70.0,20723248.0,88.0,0.24789646873887722,0.6520544462914307,0.0
NonResidential,0.44,Office,47.62391,"Data Center, Distribution Center, Office, Parking, Retail Store",-122.34837,MAGNOLIA / QUEEN ANNE,2.0,113.0,Small- and Mid-Sized Office,63888.0,2352.0,66240.0,29.04,0.0,45900.0,45.666666666666664,74.90000153,4166306.25,30.0,0.0,0.9999996999740478,0.0
NonResidential,0.73,Office,47.62419,"Office, Other, Parking",-122.34443,MAGNOLIA / QUEEN ANNE,6.0,114.0,Large Office,616891.0,303707.0,920598.0,674.09,1.0,729584.0,93.0,49.79999924,36667044.0,6.0,0.0,0.7526448273277769,0.2473550908548832
NonResidential,0.64,Office,47.62053,"Office, Other, Parking",-122.35842,MAGNOLIA / QUEEN ANNE,4.0,115.0,Small- and Mid-Sized Office,50283.0,25930.0,76213.0,48.76,1.0,48546.0,68.0,68.19999695,3476212.5,46.0,0.0,0.8470978111953743,0.15290204496992058
NonResidential,1.57,Hotel,47.62291,"Hotel, Parking",-122.35708,MAGNOLIA / QUEEN ANNE,6.0,116.0,Hotel,59976.0,36934.0,96910.0,152.14,1.0,59976.0,56.0,86.0,5155568.5,14.0,0.0,0.5114879183546878,0.48851217862782736
NonResidential,3.82,Hotel,47.65772,"Hotel, Swimming Pool",-122.31756,NORTHEAST,4.0,117.0,Hotel,50017.0,0.0,50017.0,191.2,2.0,50017.0,53.0,108.9000015,5448975.0,54.0,0.0,0.3905883216568254,0.6094116783431747
